recipient_id,recipient,france,germany,japan,uk,us,dac,eu,multilateral,non_dac,un,wb,recipient_pop,code,sdg_index,total_pop,china,totaloda,suits_suits_germany_index
279,South Sudan,41.70457,1225.9735,343.2179,1913.3882,7420.758,14284.048,1335.289,4079.717,70.37853,914.44556,772.23505,10423384.0,SSD,39.377777,6.370478e+09,624.6152,19058.758,1.6441598e-05
231,Central African Republic,357.90808,470.08084,76.74113,188.33588,1013.4336,2862.4382,1151.0405,3517.5132,74.31563,512.38135,920.372,4944703.0,CAF,41.788887,6.370478e+09,93.12443,6547.3916,1.8589973e-05
232,Chad,829.20996,335.0145,72.7475,14.446877,796.1006,2684.1912,1342.7433,5518.2925,410.2233,708.0079,1807.2322,16685223.0,TCD,42.955555,6.370478e+09,537.62805,9150.335,8.00129e-05
273,Somalia,517.8991,1474.3185,169.027,2147.016,4798.2163,12716.404,2018.0896,5466.3843,1289.2369,797.01794,1530.3071,16030971.0,SOM,44.755554,6.370478e+09,45.169823,19517.195,0.00011419469
625,Afghanistan,209.43288,4331.4067,1586.7189,3313.381,13493.1,29292.0,3634.5762,10191.327,989.24677,1061.2175,2153.5781,37856121.0,AFG,45.666668,6.370478e+09,269.96033,40742.535,0.00055244233
260,Niger,817.5544,973.0127,132.9602,6.35016,1849.3657,5771.44,2029.0206,8517.586,155.87276,816.896,3657.7676,22947757.0,NER,47.1,6.370478e+09,395.1055,14840.004,0.00049149606
235,Democratic Republic of the Congo,497.92624,1478.9045,308.7149,1674.5919,7035.0425,14579.465,2114.6284,16281.828,13.338218,1745.1913,5792.6675,92947442.0,COD,47.72222,6.370478e+09,388.78018,31263.412,0.0022839748
580,Yemen,82.21304,2713.2642,316.8882,1978.1499,6296.7476,13614.065,1676.7468,6453.243,17260.227,768.90576,3512.1252,35111408.0,YEM,47.86667,6.370478e+09,169.9246,37497.46,0.0010521672
278,Sudan,145.44832,852.7526,228.63301,992.67957,3499.909,7342.8613,1168.4749,6839.492,2822.9797,843.61395,1488.8209,45548175.0,SDN,49.72222,6.370478e+09,1871.8473,18877.18,0.0015739028
244,Guinea-Bissau,18.608,5.555788,24.210142,0.902468,55.648033,432.16385,235.22766,1079.8545,20.861609,153.2221,307.44452,1967696.0,GNB,50.322224,6.370478e+09,101.40179,1634.2817,7.016609e-05
252,Madagascar,778.15356,481.32327,360.6958,34.53283,1357.9086,3342.3447,923.17065,6049.0347,94.10106,621.98,2518.9563,28219554.0,MDG,50.455555,6.370478e+09,377.5717,9863.052,0.0010239591
251,Liberia,32.668964,329.76324,142.04485,55.330273,2649.1475,3771.3818,460.39578,3127.514,94.81463,367.52228,1211.2821,5043721.0,LBR,51.266666,6.370478e+09,287.80695,7281.517,0.00018827713
225,Angola,143.21289,37.74421,231.38441,10.121501,564.5399,1372.729,361.66165,1306.4528,12.797276,252.23117,287.59378,32375632.0,AGO,51.833332,6.370478e+09,115.90286,2807.8818,0.0012238591
274,Djibouti,368.33417,6.45338,173.10216,3.28069,165.15712,767.4363,234.50433,1145.4354,371.15668,110.38074,262.46466,1088709.0,DJI,51.855556,6.370478e+09,98.79461,2382.823,4.1217136e-05
287,Burkina Faso,1082.181,617.1665,241.11209,8.994051,1146.2657,5454.2285,1593.2042,7942.839,119.595024,681.14264,3522.584,20961952.0,BFA,52.144444,6.370478e+09,267.4283,13784.091,0.000810412
259,Mozambique,303.72015,771.0657,794.6463,752.20154,4985.9487,12200.356,1171.3029,10246.493,141.83556,716.85944,4633.732,29884380.0,MOZ,52.433334,6.370478e+09,852.89856,23441.584,0.0012087406
234,Congo,668.91614,5.719148,29.796991,15.159445,105.357544,871.6823,195.05925,1702.1208,24.043625,172.12923,452.71442,5616661.0,COG,52.466667,6.370478e+09,732.9742,3330.821,0.00023279194
349,Haiti,420.41226,133.29857,153.19644,26.038483,3470.215,5549.082,908.16174,4371.8374,13.679957,382.61493,947.46063,11105163.0,HTI,52.544445,6.370478e+09,0.07084827,9934.67,0.00046225838
238,Ethiopia,575.5626,1995.663,492.3913,3331.5044,10820.845,23405.402,2218.1492,22556.566,525.45795,1479.6205,14247.391,115737383.0,ETH,52.711113,6.370478e+09,3755.4448,50242.87,0.0051346575
288,Zambia,148.92847,416.99976,222.84633,528.42834,4172.0103,6433.4893,832.6239,5506.095,104.758934,350.93604,2017.0576,18513839.0,ZMB,52.877777,6.370478e+09,1065.713,13110.057,0.0008788323
862,Papua New Guinea,0.621529,23.483011,689.52167,13.174395,140.6516,5266.479,330.58618,2313.153,1.575702,181.2428,552.5173,9609010.0,PNG,53.011112,6.370478e+09,570.3727,8151.5806,0.00046157528
233,Comoros,289.68512,0.16032,27.709585,1.081237,11.91471,340.35452,73.124016,583.0952,145.66771,80.28346,215.92665,786578.0,COM,53.477776,6.370478e+09,191.248,1260.3655,3.780773e-05
236,Benin,639.82117,481.89093,91.588104,1.48994,1028.7483,3344.2617,721.95856,4297.718,89.95271,250.30623,2031.5618,12726755.0,BEN,53.5,6.370478e+09,364.27942,8096.2114,0.0006196188
285,Uganda,413.62265,662.13153,480.17792,1297.9827,6163.555,11984.853,1319.0652,10413.733,165.54773,800.5677,3592.9055,42999637.0,UGA,53.511112,6.370478e+09,656.91595,23221.049,0.0021567866
261,Nigeria,1045.0276,1486.7797,231.21259,3065.4077,7827.6855,15155.475,1759.615,19899.09,103.21392,1240.5461,12238.501,209485641.0,NGA,53.566666,6.370478e+09,607.0548,35764.832,0.0110866325
228,Burundi,87.494484,311.45242,73.4917,33.238758,1039.3639,2527.2615,661.5563,3121.0356,55.851433,605.3694,906.3323,12255336.0,BDI,53.97778,6.370478e+09,170.1613,5874.31,0.0006769452
243,Guinea,644.3189,158.55309,148.54506,4.8791943,705.234,1943.9985,747.82227,3851.0105,273.0767,400.61053,1169.521,13034346.0,GIN,54.5,6.370478e+09,23119.361,29187.447,0.0007278574
280,Eswatini,9.657744,3.5736182,32.578217,3.156068,598.2735,689.6361,238.20291,548.27435,43.68683,73.31659,0.0,1179874.0,SWZ,54.6,6.370478e+09,0.0,1281.5973,6.6132045e-05
249,Lesotho,2.614044,17.261793,23.46279,13.505547,701.91595,787.0343,137.62451,961.7771,26.440542,131.33182,326.59412,2209405.0,LSO,54.844444,6.370478e+09,358.06494,2133.317,0.00012389659
255,Mali,1002.12085,925.83875,97.998,75.09463,2149.7385,7599.6846,1763.2761,6705.175,425.55328,692.7822,2199.6426,21068405.0,MLI,54.866665,6.370478e+09,345.39407,15075.807,0.0012070157
253,Malawi,9.3700695,673.60034,243.40265,928.92896,3637.9417,6654.757,1030.5273,7015.4546,129.48888,616.1521,2532.965,19025752.0,MWI,54.955555,6.370478e+09,468.33652,14268.037,0.0011291443
665,Pakistan,582.5163,1404.6925,972.2994,3537.7136,4527.303,12467.24,1236.95,21096.014,3079.2837,916.28577,11488.782,230800899.0,PAK,55.666668,6.370478e+09,2436.202,39078.74,0.014314782
229,Cameroon,2530.397,1101.1711,220.63977,87.05045,1288.5875,5793.344,831.529,5923.1055,69.6321,505.1658,1807.5642,25506095.0,CMR,55.91111,6.370478e+09,1133.0009,12919.083,0.0016641793
283,Togo,359.599,383.12628,86.27869,0.080826,88.92515,1055.7009,454.67593,2760.117,92.47243,191.43694,1156.9918,8463068.0,TGO,55.97778,6.370478e+09,378.82568,4287.116,0.00056834647
256,Mauritania,296.99756,225.31421,105.30908,1.264685,193.7756,980.9689,532.5598,3276.43,712.38745,278.19568,835.32605,4467708.0,MRT,56.166668,6.370478e+09,263.91772,5233.704,0.00030353124
272,Sierra Leone,12.980456,225.39859,129.20378,1321.3116,772.2352,2861.3545,668.73914,3812.5051,171.3029,326.41956,1261.3909,7731991.0,SLE,56.18889,6.370478e+09,443.20575,7288.368,0.0005297869
